id;name;url;team;position;value;growth;goals;assists;red;yellow;shots;saves;games_played;popularity;trend;index
pedro_rodriguez;Pedro Rodriguez;/da/premier-league-fantasy-fall-2018/players/pedro_rodriguez;Chelsea;Midtbane;5647000;647.000;3;-;-;-;3;-;100%;0.053;5,3%;190
willian;Willian;/da/premier-league-fantasy-fall-2018/players/willian;Chelsea;Midtbane;6244000;244.000;-;1;-;-;1;-;100%;0.015;1,5%;-6
ethan_ampadu;Ethan Ampadu;/da/premier-league-fantasy-fall-2018/players/ethan_ampadu;Chelsea;Midtbane;1980000;-20.000;-;-;-;-;-;-;0%;0.001;0,1%;-
alvaro_borja_morata_martin;Alvaro Morata;/da/premier-league-fantasy-fall-2018/players/alvaro_borja_morata_martin;Chelsea;Angreb;5802000;302.000;1;-;-;-;2;-;100%;0.121;12,1%;10
olivier_giroud;Olivier Giroud;/da/premier-league-fantasy-fall-2018/players/olivier_giroud;Chelsea;Angreb;6213000;213.000;-;1;-;-;2;-;75%;0.008;0,8%;5
ruben_loftuscheek;Ruben Loftus-Cheek;/da/premier-league-fantasy-fall-2018/players/ruben_loftuscheek;Chelsea;Midtbane;4084000;84.000;-;-;-;-;-;-;50%;0.003;0,3%;2
callum_hudson_odoi;Callum Hudson-Odoi;/da/premier-league-fantasy-fall-2018/players/callum_hudson_odoi;Chelsea;Midtbane;1980000;-20.000;-;-;-;-;-;-;0%;0.047;4,7%;-57
julian_speroni;Julian Speroni;/da/premier-league-fantasy-fall-2018/players/julian_speroni;Crystal Palace;Mål;2980000;-20.000;-;-;-;-;-;-;0%;0;0,0%;-
wayne_hennessey;Wayne Hennessey;/da/premier-league-fantasy-fall-2018/players/wayne_hennessey;Crystal Palace;Mål;3755000;255.000;-;-;-;-;-;20;100%;0.07;7,0%;15
joel_ward;Joel Ward;/da/premier-league-fantasy-fall-2018/players/joel_ward;Crystal Palace;Forsvar;2450000;-50.000;-;-;-;-;-;-;50%;0.002;0,2%;-5
patrick_van_aanholt;Patrick Van Aanholt;/da/premier-league-fantasy-fall-2018/players/patrick_van_aanholt;Crystal Palace;Forsvar;5080000;80.000;-;1;-;1;2;-;100%;0.004;0,4%;-2
james_tomkins;James Tomkins;/da/premier-league-fantasy-fall-2018/players/james_tomkins;Crystal Palace;Forsvar;4088000;88.000;-;-;-;-;2;-;50%;0.001;0,1%;-1
scott_dann;Scott Dann;/da/premier-league-fantasy-fall-2018/players/scott_dann;Crystal Palace;Forsvar;2480000;-20.000;-;-;-;-;-;-;0%;0.001;0,1%;-
mamadou_sakho;Mamadou Sakho;/da/premier-league-fantasy-fall-2018/players/mamadou_sakho;Crystal Palace;Forsvar;3530000;30.000;-;-;-;-;-;-;100%;0.006;0,6%;-2
jeff_schlupp;Jeff Schlupp;/da/premier-league-fantasy-fall-2018/players/jeff_schlupp;Crystal Palace;Forsvar;2696000;196.000;1;-;-;1;-;-;100%;0.049;4,9%;-29
